LLM ANSWER,RELEVANT DOC,FINAL PROMPT,RELEVANT DOC METADATA
"Answer: I think it's too expensive for what it offers.

---","[Document(page_content='This is a steal at $188 and similar feature worse looking Samsung selling at more then $300 at least..', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A2Q2NJ2VCFRF8C', 'aspects': [{'aspect': ['feature', 'looking'], 'sentiment': ['Neutral', 'Negative']}, {'aspect': ['feature', 'looking'], 'sentiment': ['Neutral', 'Negative']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: This is a steal at $188 and similar feature worse looking Samsung selling at more then $300 at least..

---

Answer the question based on the above context: 
Question: In your honest opinion, how is its price?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A2Q2NJ2VCFRF8C', 'aspects': [{'aspect': ['feature', 'looking'], 'sentiment': ['Neutral', 'Negative']}, {'aspect': ['feature', 'looking'], 'sentiment': ['Neutral', 'Negative']}], 'start_index': 0}"
,"[Document(page_content='Battery life is decent.', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A1I1A9L5B9NMN6', 'aspects': [{'aspect': ['Battery'], 'sentiment': ['Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Battery life is decent.

---

Answer the question based on the above context: 
Question: What about its battery life?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A1I1A9L5B9NMN6', 'aspects': [{'aspect': ['Battery'], 'sentiment': ['Positive']}], 'start_index': 0}"
"Answer: Yes, I do. They're great.
","[Document(page_content='Nokia Apps and Espooteam apps are particularly good.', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A12ZKYAGIYYZAM', 'aspects': [{'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Nokia Apps and Espooteam apps are particularly good.

---

Answer the question based on the above context: 
Question: Do you have any opinions about its apps?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A12ZKYAGIYYZAM', 'aspects': [{'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0}"
,"[Document(page_content='Especially the picture quality... And sleek design!', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A29N49WT0VGJL4', 'aspects': [{'aspect': ['picture quality', 'design'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['picture quality', 'design'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Especially the picture quality... And sleek design!

---

Answer the question based on the above context: 
Question: I’d like to know your views on its picture quality.
","{'productId': 'B00836Y6B2', 'reviewerID': 'A29N49WT0VGJL4', 'aspects': [{'aspect': ['picture quality', 'design'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['picture quality', 'design'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0}"
"Answer: Yes, I like it. It's modern.
","[Document(page_content='Design is modern.', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A3UPE6M9X39S46', 'aspects': [{'aspect': ['Design'], 'sentiment': ['Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Design is modern.

---

Answer the question based on the above context: 
Question: Do you have any particular views on its design?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A3UPE6M9X39S46', 'aspects': [{'aspect': ['Design'], 'sentiment': ['Positive']}], 'start_index': 0}"
,"[Document(page_content=""IF this doesn't bother you, the weight of the phone and the clarity of the camera was nice."", metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A1SVDKADH9PCS1', 'aspects': [{'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: IF this doesn't bother you, the weight of the phone and the clarity of the camera was nice.

---

Answer the question based on the above context: 
Question: May I know your opinion on its weight?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A1SVDKADH9PCS1', 'aspects': [{'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0}"
,"[Document(page_content=""IF this doesn't bother you, the weight of the phone and the clarity of the camera was nice."", metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A1SVDKADH9PCS1', 'aspects': [{'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: IF this doesn't bother you, the weight of the phone and the clarity of the camera was nice.

---

Answer the question based on the above context: 
Question: Do you have any particular views on its clarity?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A1SVDKADH9PCS1', 'aspects': [{'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['weight of the', 'clarity of the camera'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0}"
"Answer: The camera is not that great, but it's still better than most phones out there.","[Document(page_content=""Don't be sold on the camera either.. if you get the sales pitch on it you'll know what I'm referring to."", metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A30ZHC0AUR04LF', 'aspects': [], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Don't be sold on the camera either.. if you get the sales pitch on it you'll know what I'm referring to.

---

Answer the question based on the above context: 
Question: Do you have any views on its camera?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A30ZHC0AUR04LF', 'aspects': [], 'start_index': 0}"
,"[Document(page_content='Nokia Apps and Espooteam apps are particularly good.', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'A12ZKYAGIYYZAM', 'aspects': [{'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: Nokia Apps and Espooteam apps are particularly good.

---

Answer the question based on the above context: 
Question: May I know your opinion on its apps?
","{'productId': 'B00836Y6B2', 'reviewerID': 'A12ZKYAGIYYZAM', 'aspects': [{'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}, {'aspect': ['Nokia', 'Espooteam'], 'sentiment': ['Positive', 'Positive']}], 'start_index': 0}"
,"[Document(page_content='The Nokia Lumia 900 smartphone features a large and vibrant 4.3"" AMOLED ClearBlack Display.', metadata={'productId': 'B00836Y6B2', 'reviewerID': 'AV2QEVD6YF42H', 'aspects': [{'aspect': ['ClearBlack Display'], 'sentiment': ['Positive']}], 'start_index': 0})]","
Answer the question only based on the following context:
Give a short answer and don't mention ""based on the provided context""
-----


Context: The Nokia Lumia 900 smartphone features a large and vibrant 4.3"" AMOLED ClearBlack Display.

---

Answer the question based on the above context: 
Question: What about its display?
","{'productId': 'B00836Y6B2', 'reviewerID': 'AV2QEVD6YF42H', 'aspects': [{'aspect': ['ClearBlack Display'], 'sentiment': ['Positive']}], 'start_index': 0}"
